stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
110,ACME,Acme,Rush Springs,4,WNW,Grady,34.808330,-98.023250,397,Central,STANDARD,0.034,0.41,0.273,1.39,1.27,0.1,73,19.7,7.2,Sandy Loam,0.037,0.41,0.253,1.38,0.05,0.411,0.206,1.36,1.33,0.1,60.3,23.9,15.7,Sandy Loam,0.068,0.361,0.192,1.34,1.6,0.1,52.5,25.9,21.5,Sandy Clay Loam,0.07,0.347,0.178,1.32,1.68,0,53.2,24.1,22.8,Sandy Clay Loam,19940101,20991231
1,ADAX,Ada,Ada,2,NNE,Pontotoc,34.798510,-96.669090,295,South Central,STANDARD,0.05,0.483,0.272,1.36,1.01,0,61.1,22,16.9,Sandy Loam,0.055,0.445,0.216,1.35,0.069,0.324,0.095,1.26,1.79,0,51.1,25.4,23.5,Sandy Clay Loam,0.08,0.317,0.06,1.21,1.85,0,47.6,24.6,27.8,Sandy Clay Loam,0.086,0.318,0.053,1.2,1.86,0,43.6,26.6,29.8,Clay Loam,19940101,20991231
2,ALTU,Altus,Altus,3,S,Jackson,34.587220,-99.338080,416,Southwest,STANDARD,0.089,0.384,0.078,1.29,1.57,0,23.8,40,36.2,Clay Loam,0.092,0.387,0.076,1.28,0.103,0.396,0.071,1.26,1.56,0,17.8,45.2,37,Silty Clay Loam,0.118,0.373,0.073,1.17,1.69,0,14.3,40.9,44.8,Silty Clay,0.118,0.346,0.059,1.16,1.73,0,15,40.9,44.1,Silty Clay,19940101,20991231
116,ALV2,Alva,Alva,7.2,SSW,Woods,36.708230,-98.709740,439,North Central,STANDARD,0.086,0.365,0.037,1.34,1.66,0,33.3,31.4,35.3,Clay Loam,0.089,0.372,0.044,1.31,0.1,0.396,0.076,1.25,1.58,0,21.2,29.7,49.1,Clay,0.115,0.382,0.13,1.2,1.64,0,19.8,29.8,50.5,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19981217,20991231
3,ALVA,Alva,Alva,2,S,Woods,36.779700,-98.671700,450,North Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19981216
135,ANT2,Antlers,Antlers,3,WNW,Pushmataha,34.249670,-95.668440,172,Southeast,STANDARD,0.042,0.361,0.057,1.5,1.49,0.1,55.6,34.9,9.4,Sandy Loam,0.039,0.349,0.083,1.43,0.052,0.322,0.254,1.43,1.7,0.1,57.5,31.1,11.3,Sandy Loam,0.066,0.342,0.133,1.3,1.69,0,47.7,26.8,25.5,Sandy Clay Loam,0.071,0.347,0.051,1.33,1.71,0,46.5,27.4,26.1,Sandy Clay Loam,20110415,20991231
4,ANTL,Antlers,Antlers,5,W,Pushmataha,34.224380,-95.700590,179,Southeast,STANDARD,0.011,0.419,0.428,1.72,1.19,0,77.5,14.8,7.7,Sandy Loam,0.011,0.416,0.426,1.73,0.008,0.404,0.418,1.69,1.26,0,78,16.3,5.7,Loamy Sand,0.013,0.276,0.199,1.38,1.92,0,76.8,16.3,6.9,Sandy Loam,0.019,0.275,0.242,1.4,1.95,0,80,8.8,11.3,Sandy Loam,19940101,20110414
111,APAC,Apache,Apache,4,ENE,Caddo,34.914180,-98.292160,440,Southwest,STANDARD,0.033,0.387,0.291,1.42,1.41,0,76.9,11.3,11.9,Sandy Loam,0.036,0.385,0.271,1.41,0.048,0.38,0.218,1.38,1.48,0,59.4,19.4,21.3,Sandy Clay Loam,0.084,0.377,0.087,1.29,1.59,0,31.6,33.9,34.5,Clay Loam,0.096,0.37,0.097,1.23,1.66,0.1,32.3,28.8,38.8,Clay Loam,19940101,20991231
126,ARD2,Ardmore,Ardmore,3.5,ENE,Carter,34.192580,-97.085680,266,South Central,STANDARD,0.073,0.429,0.202,1.36,1.29,0.1,33.6,34.1,32.2,Clay Loam,0.078,0.423,0.167,1.33,0.093,0.401,0.085,1.28,1.52,0,27,33.7,39.4,Clay Loam,0.126,0.394,0.097,1.16,1.63,0.1,11.2,33.8,54.9,Clay,0.121,0.38,0.079,1.16,1.67,0,11.3,35.7,53,Clay,20040223,20991231
5,ARDM,Ardmore,Ardmore,3,ENE,Carter,34.192200,-97.085000,266,South Central,ENHANCED,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20040218
6,ARNE,Arnett,Arnett,8,WSW,Ellis,36.072040,-99.903080,719,Panhandle,STANDARD,0.053,0.366,0.109,1.36,1.53,0,45.5,31.1,23.4,Loam,0.054,0.376,0.124,1.36,0.06,0.406,0.172,1.36,1.35,0,36.9,35.7,27.4,Clay Loam,0.064,0.394,0.194,1.37,1.43,0,38.8,30.6,30.6,Clay Loam,0.064,0.386,0.189,1.36,1.48,0,43.3,26.8,30,Clay Loam,19940101,20991231
7,BBOW,Broken Bow,Broken Bow,7,E,McCurtain,34.014400,-94.613100,113,Southeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20021119
8,BEAV,Beaver,Beaver,1,SSW,Beaver,36.802530,-100.530120,758,Panhandle,CONTINUITY,0.06,0.383,0.107,1.35,1.47,0,40.6,35.1,24.3,Loam,0.062,0.391,0.112,1.35,0.067,0.414,0.125,1.35,1.34,0,29,41,30.1,Clay Loam,0.082,0.395,0.246,1.47,1.41,0,32.2,37.1,30.7,Clay Loam,0.066,0.393,0.14,1.34,1.45,0,35.1,33.1,31.8,Clay Loam,19940101,20991231
119,BEEX,Bee,Tishomingo,3.8,SE,Johnston,34.191210,-96.643860,196,South Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20010401,20050713
9,BESS,Bessie,Bessie,4,WNW,Washita,35.401850,-99.058470,511,West Central,STANDARD,0.066,0.409,0.092,1.37,1.36,0,26,50.5,23.6,Silt Loam,0.063,0.411,0.116,1.36,0.055,0.418,0.206,1.38,1.24,0,32.1,50.3,17.6,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
10,BIXB,Bixby,Bixby,2,NE,Tulsa,35.963050,-95.866210,184,Northeast,STANDARD,0.047,0.452,0.056,1.54,1.02,0,43.6,49.5,6.9,Sandy Loam,0.045,0.43,0.066,1.5,0.041,0.359,0.122,1.39,1.48,0.1,36.7,53.2,10,Silt Loam,0.051,0.364,0.07,1.44,1.51,0,28.6,57.6,13.8,Silt Loam,0.059,0.373,0.042,1.51,1.51,0,36.7,47,16.3,Loam,19940101,20991231
11,BLAC,Blackwell,Blackwell,4,SSE,Kay,36.754430,-97.254520,304,North Central,STANDARD,0.078,0.406,0.101,1.33,1.43,0,27.8,49.2,23,Loam,0.082,0.412,0.088,1.33,0.093,0.428,0.057,1.35,1.39,0,17.5,44.8,37.8,Silty Clay Loam,0.101,0.379,0.07,1.24,1.63,0,20,40.3,39.7,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
12,BOIS,Boise City,Boise City,3,SSE,Cimarron,36.692560,-102.497130,1267,Panhandle,STANDARD,0.091,0.464,0.234,1.36,1.23,0,35,23.8,41.2,Clay,0.098,0.457,0.209,1.33,0.119,0.435,0.139,1.23,1.46,0,19.7,30.2,50.1,Clay,0.136,0.402,0.119,1.17,1.59,0,9.9,42.8,47.3,Silty Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
13,BOWL,Bowlegs,Bowlegs,3,NE,Seminole,35.171560,-96.631210,281,Central,STANDARD,0.038,0.414,0.161,1.37,1.23,0,58,28.8,13.2,Sandy Loam,0.044,0.399,0.138,1.37,0.064,0.349,0.095,1.31,1.67,0,47.2,26.4,26.4,Sandy Clay Loam,0.093,0.367,0.077,1.24,1.67,0,31.4,31.5,37.1,Clay Loam,0.091,0.361,0.09,1.25,1.67,0,26.8,35.3,37.9,Clay Loam,19940101,20181030
14,BREC,Breckinridge,Breckinridge,3,SE,Garfield,36.412010,-97.693940,352,North Central,STANDARD,0.079,0.416,0.072,1.37,1.4,0,18.8,57.1,24.1,Silt Loam,0.09,0.424,0.081,1.32,0.126,0.446,0.127,1.23,1.41,0,8.1,48.5,43.4,Silty Clay,0.142,0.427,0.082,1.14,1.56,0,11.7,43.5,44.8,Silty Clay,0.143,0.402,0.105,1.15,1.62,0.1,14.4,42.1,43.4,Silty Clay,19940101,20991231
15,BRIS,Bristow,Bristow,4,SE,Creek,35.780500,-96.354040,239,Central,STANDARD,0.036,0.422,0.238,1.38,1.27,0,64.3,11.9,23.9,Sandy Clay Loam,0.039,0.404,0.188,1.37,0.049,0.358,0.088,1.39,1.54,0,46.4,34.7,18.9,Loam,0.055,0.365,0.075,1.39,1.53,0,41.2,36.7,22.1,Loam,0.057,0.36,0.065,1.4,1.57,0,41.9,36,22.1,Loam,19940101,20991231
124,BROK,Broken Bow,Broken Bow,6.5,E,McCurtain,34.043300,-94.624400,113,Southeast,STANDARD,0.038,0.36,0.106,1.41,1.45,0,45.4,40.8,13.8,Loam,0.044,0.361,0.104,1.4,0.064,0.364,0.102,1.34,1.56,0,31.8,41,27.2,Clay Loam,0.084,0.351,0.08,1.26,1.7,0,31.1,34.1,34.8,Clay Loam,0.081,0.35,0.064,1.28,1.7,0.1,32.1,34.2,33.6,Clay Loam,20030404,20991231
16,BUFF,Buffalo,Buffalo,0.5,SW,Harper,36.831290,-99.641010,559,Panhandle,STANDARD,0.049,0.374,0.097,1.4,1.44,0,31.8,48,20.2,Loam,0.05,0.372,0.094,1.4,0.052,0.365,0.086,1.41,1.48,0,24.8,53.1,22.1,Silt Loam,0.073,0.405,0.142,1.34,1.38,0,22.1,45.3,32.6,Clay Loam,0.08,0.39,0.091,1.32,1.5,0,22.4,44.5,33.1,Clay Loam,19940101,20991231
17,BURB,Burbank,Burbank,7,SW,Osage,36.634590,-96.810460,301,Northeast,STANDARD,0.071,0.415,0.044,1.5,1.34,0,20.1,53.9,26,Silt Loam,0.072,0.413,0.047,1.48,0.074,0.405,0.055,1.42,1.4,0,17,51.4,31.7,Silty Clay Loam,0.101,0.403,0.071,1.28,1.52,0,12.2,44.2,43.6,Silty Clay,0.103,0.4,0.117,1.26,1.52,0,12.8,42.3,44.9,Silty Clay,19940101,20991231
18,BURN,Burneyville,Burneyville,2,SE,Love,33.893760,-97.269180,228,South Central,STANDARD,0.023,0.328,0.226,1.41,1.63,0,67.4,23.2,9.4,Sandy Loam,0.027,0.332,0.205,1.4,0.034,0.342,0.149,1.39,1.57,0,64.2,24.5,11.3,Sandy Loam,0.033,0.324,0.317,1.53,1.67,0,68.7,21.3,10,Sandy Loam,0.027,0.337,0.264,1.43,1.61,0,75.6,16.3,8.1,Sandy Loam,19940101,20991231
19,BUTL,Butler,Butler,5,SW,Custer,35.591500,-99.270590,520,West Central,STANDARD,0.084,0.453,0.267,1.54,1.09,0.1,15.6,52,32.3,Silty Clay Loam,0.074,0.443,0.222,1.41,0.069,0.407,0.075,1.4,1.35,0,7.8,57.2,35,Silty Clay Loam,0.116,0.391,0.088,1.21,1.6,0.1,3.3,46.7,49.9,Silty Clay,0.083,0.34,0.097,1.27,1.71,0,14.2,51.5,34.3,Silty Clay Loam,19940101,20991231
20,BYAR,Byars,Byars,3,ESE,Garvin,34.849700,-97.003300,345,South Central,STANDARD,0.035,0.352,0.152,1.38,1.55,0,68.6,17.6,13.8,Sandy Loam,0.04,0.355,0.151,1.37,0.063,0.363,0.143,1.31,1.62,0,53.6,17.8,28.6,Sandy Clay Loam,0.07,0.331,0.155,1.27,1.8,0,57.4,10.2,32.4,Sandy Clay Loam,0.074,0.321,0.141,1.24,1.85,0.1,57.8,8.9,33.2,Sandy Clay Loam,19940101,20991231
21,CALV,Calvin,Calvin,5,WNW,Hughes,34.992400,-96.334220,234,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20090318
22,CAMA,Camargo,Camargo,4,WNW,Dewey,36.028660,-99.346520,589,West Central,STANDARD,0.046,0.368,0.164,1.38,1.46,0,41.7,39.3,19,Loam,0.046,0.368,0.188,1.38,0.046,0.369,0.272,1.47,1.46,0,48.7,30.4,20.9,Loam,0.043,0.396,0.268,1.44,1.34,0,49.5,26.5,24,Sandy Clay Loam,0.042,0.386,0.277,1.45,1.39,0,54.5,24,21.5,Sandy Clay Loam,19940101,20991231
131,CARL,Lake Carl Blackwell,Orlando,5,E,Payne,36.147300,-97.285850,293,Central,STANDARD,0.044,0.398,0.181,1.38,1.3,0,34.9,41.1,24,Loam,0.051,0.401,0.151,1.37,0.073,0.411,0.081,1.36,1.39,0,28.7,37.6,33.7,Clay Loam,0.096,0.39,0.085,1.27,1.56,0,21.9,42.3,35.9,Clay Loam,0.092,0.369,0.076,1.26,1.64,0,22,43.5,34.5,Clay Loam,20080301,20991231
112,CATO,Catoosa,Catoosa,4.7,NNW,Rogers,36.261900,-95.757200,232,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19960618,20010418
23,CENT,Centrahoma,Centrahoma,1,E,Coal,34.608960,-96.333090,208,South Central,STANDARD,0.049,0.368,0.083,1.4,1.5,0,50.9,35.9,13.2,Loam,0.048,0.364,0.1,1.38,0.045,0.353,0.17,1.38,1.53,0,44.8,37,18.2,Loam,0.087,0.356,0.033,1.33,1.7,0,31,34.2,34.8,Clay Loam,0.092,0.353,0.091,1.23,1.71,0,36.1,29.7,34.2,Clay Loam,19940101,20991231
24,CHAN,Chandler,Sparks,3,NNE,Lincoln,35.652820,-96.804070,291,Central,STANDARD,0.037,0.369,0.244,1.4,1.5,0,75.5,15.7,8.8,Sandy Loam,0.042,0.361,0.211,1.38,0.06,0.339,0.126,1.3,1.72,0,57.9,17.7,24.5,Sandy Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
25,CHER,Cherokee,Cherokee,0.5,SSW,Alfalfa,36.748130,-98.362740,362,North Central,STANDARD,0.041,0.361,0.131,1.39,1.46,0,40.6,43.6,15.8,Loam,0.042,0.359,0.118,1.39,0.045,0.352,0.089,1.41,1.52,0,34.9,45.5,19.6,Loam,0.044,0.389,0.197,1.39,1.33,0,36.1,40.5,23.4,Loam,0.043,0.383,0.21,1.4,1.36,0,37.9,39.9,22.2,Loam,19940101,20991231
26,CHEY,Cheyenne,Cheyenne,6,SW,Roger Mills,35.546150,-99.727900,694,West Central,STANDARD,0.055,0.371,0.122,1.36,1.5,0,40.3,35.8,23.9,Loam,0.055,0.382,0.138,1.36,0.056,0.416,0.19,1.37,1.31,0,41,30.8,28.3,Clay Loam,0.083,0.41,0.125,1.31,1.42,0,24.8,37.9,37.3,Clay Loam,0.074,0.408,0.172,1.35,1.38,0,26,38.6,35.4,Clay Loam,19940101,20991231
27,CHIC,Chickasha,Chickasha,2,SSE,Grady,35.032360,-97.914460,328,Central,STANDARD,0.082,0.463,0.056,1.44,1.16,0,10.8,53.9,35.3,Silty Clay Loam,0.084,0.453,0.069,1.39,0.098,0.415,0.134,1.3,1.43,0,8.9,56.5,34.6,Silty Clay Loam,0.12,0.415,0.139,1.25,1.49,0,5.8,51.6,42.6,Silty Clay,0.148,0.372,0.123,1.16,1.69,0,3.9,46.1,50,Silty Clay,19940101,20991231
28,CLAR,Claremore,Claremore,1,WNW,Rogers,36.317200,-95.641700,213,Northeast,STANDARD,0.071,0.438,0.057,1.43,1.26,0,36.8,37.8,25.4,Loam,0.084,0.426,0.061,1.37,0.111,0.433,0.037,1.36,1.46,0,12.5,50.1,37.4,Silty Clay Loam,0.09,0.363,0.023,1.37,1.73,0.1,15,61.8,23.1,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020707
29,CLAY,Clayton,Clayton,3,NNE,Pushmataha,34.656570,-95.325960,186,Southeast,STANDARD,0.048,0.418,0.165,1.37,1.23,0,37.2,40.6,22.2,Loam,0.049,0.422,0.16,1.37,0.053,0.436,0.143,1.37,1.16,0,26.6,44.6,28.9,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
30,CLOU,Cloudy,Cloudy,5,SSE,Pushmataha,34.223210,-95.248700,221,Southeast,STANDARD,0.05,0.367,0.03,1.7,1.5,0,36.6,54,9.4,Silt Loam,0.05,0.365,0.037,1.61,0.05,0.36,0.075,1.42,1.51,0.1,31.5,50.2,18.2,Silt Loam,0.099,0.373,0.184,1.32,1.57,0,19.4,42.8,37.8,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
122,CLRM,Claremore,Claremore,1.8,WNW,Rogers,36.321120,-95.646170,207,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20020711,20140501
31,COOK,Cookson,Marble City,7,NNW,Cherokee,35.680010,-94.848960,299,East Central,STANDARD,0.05,0.455,0.065,1.49,1.03,0.1,36.2,46.1,17.6,Loam,0.05,0.438,0.065,1.49,0.05,0.39,0.066,1.48,1.35,0,21,60.8,18.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
32,COPA,Copan,Copan,2,ENE,Washington,36.909870,-95.885530,250,Northeast,STANDARD,0.054,0.382,0.086,1.39,1.45,0,44.6,33.4,22,Loam,0.056,0.401,0.14,1.36,0.097,0.454,0.3,1.82,1.12,0,28.9,35.6,35.6,Clay Loam,0.071,0.408,0.104,1.32,1.47,0,49.4,17.1,33.5,Sandy Clay Loam,0.077,0.383,0.168,1.29,1.59,0,54.7,13.8,31.5,Sandy Clay Loam,19940101,20991231
33,DURA,Durant,Durant,6,SSE,Bryan,33.920750,-96.320270,197,South Central,STANDARD,0.065,0.395,0.077,1.37,1.45,0.1,41.9,30.9,27.1,Clay Loam,0.062,0.389,0.093,1.36,0.058,0.373,0.168,1.35,1.51,0,44.3,29.1,26.6,Loam,0.144,0.461,0.09,1.12,1.49,0,17.8,19.3,63,Clay,0.139,0.398,0.089,1.12,1.6,0,19.9,21.8,58.3,Clay,19940101,20991231
139,ELKC,Elk City,Elk City,5,S,Beckham,35.333530,-99.393980,584,West Central,STANDARD,0.053,0.385,0.123,1.36,1.44,0,48.7,35.5,15.8,Loam,0.053,0.379,0.168,1.36,0.063,0.409,0.181,1.36,1.35,0,38.5,34.7,26.8,Loam,0.07,0.385,0.197,1.36,1.49,0.1,43.5,29,27.4,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20150610,20991231
34,ELRE,El Reno,El Reno,5,WNW,Canadian,35.548480,-98.036540,419,Central,STANDARD,0.091,0.437,0.012,2.06,1.32,0,16.3,60.9,22.8,Silt Loam,0.085,0.426,0.016,1.88,0.07,0.396,0.053,1.45,1.43,0,11.6,59.8,28.6,Silty Clay Loam,0.118,0.384,0.107,1.21,1.62,0,9.2,47.7,43.2,Silty Clay,0.182,0.433,0.111,2.14,-999,0,5.3,44.1,50.6,Silty Clay,19940101,20991231
35,ERIC,Erick,Erick,4,ESE,Beckham,35.204940,-99.803440,603,West Central,STANDARD,0.038,0.376,0.281,1.45,1.43,0.1,63.5,22.6,13.8,Sandy Loam,0.038,0.374,0.254,1.42,0.04,0.369,0.19,1.38,1.46,0,57.4,26.3,16.3,Sandy Loam,0.059,0.383,0.119,1.35,1.47,0,42.2,33.9,23.9,Loam,0.069,0.378,0.074,1.35,1.53,0,37.6,35.3,27.1,Clay Loam,19940101,20991231
36,EUFA,Eufaula,Eufaula,4,WNW,McIntosh,35.303240,-95.657070,200,East Central,STANDARD,0.066,0.368,0.02,1.71,1.62,0,36,53.2,10.8,Silt Loam,0.077,0.374,0.023,1.54,0.113,0.391,0.052,1.21,1.63,0,19.8,40,40.2,Silty Clay,0.098,0.333,0.063,1.29,1.78,0,19.3,52.5,28.2,Silty Clay Loam,0.102,0.331,0.058,1.29,1.8,0,14.1,56.4,29.5,Silty Clay Loam,19940101,20991231
