stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
141,EVAX,Eva,Eva,12,NE,Texas,36.921853,-101.781580,1065,Panhandle,STANDARD,0.078,0.435,0.137,1.33,1.29,0,23.4,52,24.6,Silt Loam,0.069,0.466,0.214,1.37,0.082,0.408,0.123,1.32,1.43,0,24,51.4,24.6,Silt Loam,0.136,0.391,0.171,1.23,1.59,0,21,38.2,40.8,Clay,0.109,0.365,0.063,1.19,1.71,0,22.4,41.1,36.5,Clay Loam,20160517,20991231
37,FAIR,Fairview,Fairview,1,W,Major,36.263530,-98.497660,405,North Central,STANDARD,0.053,0.394,0.103,1.4,1.34,0,18.6,51.7,29.8,Silty Clay Loam,0.057,0.394,0.093,1.4,0.067,0.394,0.069,1.4,1.42,0,17.8,47.8,34.4,Silty Clay Loam,0.087,0.4,0.103,1.3,1.47,0,13,43.5,43.5,Silty Clay,0.104,0.357,0.09,1.21,1.71,0,8,41.8,50.2,Silty Clay,19940101,20991231
127,FITT,Fittstown,Fittstown,6.3,SW,Pontotoc,34.552050,-96.717790,350,South Central,STANDARD,0.046,0.409,0.198,1.36,1.33,0,59,22.7,18.3,Sandy Loam,0.05,0.412,0.214,1.37,0.064,0.419,0.268,1.43,1.36,0,56.8,16.5,26.7,Sandy Clay Loam,0.107,0.349,0.063,1.15,1.73,0,48.1,1.9,50,Sandy Clay,0.093,0.365,0.051,1.19,1.76,0,57.1,0.6,42.3,Sandy Clay,20050512,20991231
38,FORA,Foraker,Foraker,8,ESE,Osage,36.840530,-96.427770,330,Northeast,STANDARD,0.054,0.446,0.09,1.4,1.15,0,46.2,34.2,19.6,Loam,0.055,0.437,0.092,1.39,0.061,0.412,0.105,1.36,1.36,0,45.3,28.6,26.1,Loam,0.065,0.363,0.062,1.35,1.64,0,58.9,17.1,24,Sandy Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
39,FREE,Freedom,Freedom,3,SSW,Woodward,36.725620,-99.142340,530,North Central,STANDARD,0.061,0.434,0.117,1.37,1.2,0.1,17.3,59.9,22.7,Silt Loam,0.059,0.438,0.131,1.37,0.052,0.449,0.179,1.37,1.06,0,15.5,59.9,24.6,Silt Loam,0.085,0.418,0.213,1.4,1.31,0,17.8,50.6,31.6,Silty Clay Loam,0.086,0.396,0.158,1.33,1.44,0,10.5,53.6,35.9,Silty Clay Loam,19940101,20991231
40,FTCB,Fort Cobb,Fort Cobb,4,NNW,Caddo,35.148870,-98.466070,422,Southwest,STANDARD,0.038,0.409,0.386,1.59,1.32,0,78.1,8.8,13.1,Sandy Loam,0.04,0.41,0.364,1.54,0.049,0.411,0.296,1.43,1.4,0,73,5,22,Sandy Clay Loam,0.043,0.336,0.244,1.39,1.73,0,77.4,3.8,18.9,Sandy Loam,0.036,0.285,0.226,1.36,1.93,0,79.3,6.9,13.8,Sandy Loam,19940101,20991231
41,GOOD,Goodwell,Goodwell,2,E,Texas,36.601830,-101.601300,997,Panhandle,STANDARD,0.07,0.414,0.131,1.33,1.37,0,36.6,34.6,28.8,Clay Loam,0.075,0.41,0.126,1.32,0.088,0.397,0.103,1.29,1.51,0,28.2,34,37.8,Clay Loam,0.078,0.441,0.316,1.73,1.19,0,34.8,29.4,35.8,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
117,GRA2,Grandfield,Grandfield,3.3,W,Tillman,34.239444,-98.743583,341,Southwest,STANDARD,0.104,0.456,0.159,1.3,1.28,0,15.7,55.3,29,Silty Clay Loam,0.108,0.437,0.051,1.39,0.123,0.367,0.068,1.25,1.71,0,13.6,43.2,43.2,Silty Clay,0.12,0.34,0.071,1.23,1.8,0,16.9,41.9,41.2,Silty Clay,0.119,0.33,0.071,1.22,1.83,0,17.5,42.2,40.3,Silty Clay,19990401,20991231
42,GRAN,Grandfield,Grandfield,3,WNW,Tillman,34.239200,-98.739700,342,Southwest,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19990316
43,GUTH,Guthrie,Guthrie,4,WSW,Logan,35.848910,-97.479780,330,Central,STANDARD,0.059,0.347,0.089,1.34,1.65,0,47,28.4,24.6,Loam,0.065,0.349,0.08,1.33,0.086,0.358,0.059,1.29,1.67,0,19.7,44.6,35.7,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
44,HASK,Haskell,Haskell,5,SSE,Muskogee,35.747980,-95.640470,183,East Central,STANDARD,0.079,0.394,0.011,2.06,1.56,0,10.1,74.2,15.7,Silt Loam,0.073,0.394,0.015,1.94,0.058,0.394,0.036,1.63,1.41,0,10.5,73.8,15.8,Silt Loam,0.082,0.407,0.067,1.37,1.44,0,6.6,61.8,31.6,Silty Clay Loam,0.132,0.394,0.038,1.18,1.61,0,3.5,50.2,46.3,Silty Clay,19940101,20991231
113,HECT,Hectorville,Hectorville,4.1,W,Okmulgee,35.841620,-96.002400,243,East Central,STANDARD,0.046,0.362,0.066,1.45,1.51,0,52.5,33.6,13.9,Sandy Loam,0.042,0.375,0.103,1.4,0.041,0.426,0.317,1.44,1.22,0,67,20.2,12.8,Sandy Loam,0.05,0.375,0.29,1.47,1.52,0,63.3,13.9,22.8,Sandy Clay Loam,0.139,0.479,0.056,1.18,1.42,0,7.1,29.7,63.2,Clay,19960618,20991231
45,HINT,Hinton,Hinton,7,W,Caddo,35.484390,-98.481510,493,Southwest,STANDARD,0.036,0.406,0.366,1.56,1.29,0.1,73,16.9,10,Sandy Loam,0.039,0.404,0.369,1.58,0.042,0.4,0.374,1.63,1.35,0.1,75.5,12.5,11.9,Sandy Loam,0.038,0.364,0.317,1.5,1.51,0.1,73,15,11.9,Sandy Loam,0.036,0.331,0.242,1.4,1.67,0,75,15.6,9.4,Sandy Loam,19940101,20991231
46,HOBA,Hobart,Hobart,4,SE,Kiowa,34.989710,-99.052830,473,Southwest,CONTINUITY,0.075,0.429,0.079,1.38,1.31,0.1,11,63.5,25.4,Silt Loam,0.088,0.436,0.082,1.34,0.13,0.449,0.097,1.21,1.46,0,5.4,60.3,34.3,Silty Clay Loam,0.131,0.387,0.099,1.17,1.65,0,8.4,48.4,43.2,Silty Clay,0.144,0.384,0.155,1.2,1.63,0,8.5,48.3,43.2,Silty Clay,19940101,20991231
134,HOLD,Holdenville,Holdenville,3,ESE,Hughes,35.070730,-96.355950,280,East Central,STANDARD,0.078,0.394,0.032,1.51,1.5,0,26.1,49.6,24.3,Loam,0.078,0.391,0.034,1.5,0.077,0.385,0.038,1.46,1.53,0,24.9,50.2,24.9,Silt Loam,0.115,0.397,0.039,1.23,1.62,0,19.7,40,40.3,Silty Clay,0.12,0.409,0.035,1.24,1.59,0,17.2,39.8,43,Clay,20090529,20991231
47,HOLL,Hollis,Gould,3,W,Harmon,34.685500,-99.833310,497,Southwest,STANDARD,0.107,0.417,0.098,1.24,1.5,0,20.7,35.2,44.1,Clay,0.111,0.407,0.1,1.22,0.121,0.371,0.102,1.16,1.7,0,18.1,30.1,51.8,Clay,0.123,0.396,0.107,1.18,1.62,0,15.5,30.7,53.8,Clay,0.135,0.384,0.134,1.17,1.66,0.1,12.1,31.8,56,Clay,19940101,20991231
48,HOOK,Hooker,Hooker,1,W,Texas,36.855180,-101.225470,912,Panhandle,STANDARD,0.059,0.376,0.124,1.35,1.48,0,36.4,38.8,24.8,Loam,0.067,0.372,0.119,1.33,0.091,0.355,0.099,1.23,1.7,0,35.1,29.5,35.4,Clay Loam,0.115,0.415,0.113,1.24,1.5,0,11,47.1,41.9,Silty Clay,0.146,0.463,0.137,1.19,1.41,0,7.5,48.2,44.3,Silty Clay,19940101,20991231
49,HUGO,Hugo,Hugo,2,NW,Choctaw,34.030840,-95.540110,175,Southeast,STANDARD,0.054,0.406,0.067,1.45,1.31,0,34.9,47,18.2,Loam,0.065,0.404,0.053,1.46,0.102,0.394,0.022,1.43,1.59,0,26.6,37.7,35.7,Clay Loam,0.134,0.422,0.091,1.24,1.59,0,14.4,29.6,56,Clay,0.138,0.452,0.106,1.15,1.48,0,15.5,27.1,57.4,Clay,19940101,20991231
50,IDAB,Idabel,Idabel,5,SW,McCurtain,33.830130,-94.880300,110,Southeast,STANDARD,0.082,0.401,0.064,1.37,1.47,0.1,1.5,67.5,30.9,Silty Clay Loam,0.094,0.424,0.077,1.33,0.125,0.514,0.171,1.25,1.17,0,5,32.1,62.9,Clay,0.142,0.48,0.1,1.15,1.41,0,4.6,27.7,67.7,Clay,0.157,0.464,0.202,1.18,1.42,0,4.9,27.6,67.5,Clay,19940101,20991231
120,INOL,Inola,Inola,3.1,ESE,Rogers,36.142460,-95.450670,190,Northeast,STANDARD,0.072,0.406,0.043,1.47,1.42,0,33.4,48.2,18.4,Loam,0.076,0.423,0.058,1.41,0.092,0.486,0.138,1.3,1.14,0,20.7,37.5,41.9,Clay,0.139,0.451,0.034,1.2,1.45,0,5.6,21.7,72.8,Clay,0.128,0.43,0.111,1.18,1.52,0,18,28.6,53.4,Clay,20011201,20991231
51,JAYX,Jay,Jay,4,N,Delaware,36.482100,-94.782870,304,Northeast,STANDARD,0.071,0.383,0.017,1.86,1.56,0,7.4,74.5,18.1,Silt Loam,0.072,0.369,0.017,1.76,0.072,0.32,0.018,1.45,1.88,0,6.7,70.8,22.5,Silt Loam,0.134,0.466,0.05,1.23,1.42,0,4,44.3,51.8,Silty Clay,0.131,0.435,0.071,1.28,1.52,0.1,7.2,42.3,50.4,Silty Clay,19940101,20991231
52,KENT,Kenton,Kenton,5,SE,Cimarron,36.829370,-102.878200,1322,Panhandle,STANDARD,0.099,0.422,0.171,1.3,1.42,0.1,14.8,36.2,48.9,Clay,0.097,0.419,0.17,1.31,0.09,0.411,0.162,1.32,1.42,0,15.9,39.9,44.3,Clay,0.213,0.371,0.243,1.6,1.6,0,1.6,68.6,29.8,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
53,KETC,Ketchum Ranch,Velma,7,NW,Stephens,34.528870,-97.764840,341,South Central,STANDARD,0.063,0.392,0.064,1.4,1.45,0,44.2,33.3,22.6,Loam,0.068,0.397,0.063,1.39,0.085,0.413,0.061,1.34,1.46,0,34.9,29.1,36,Clay Loam,0.116,0.39,0.057,1.18,1.66,0,20.5,27.4,52.1,Clay,0.098,0.369,0.045,1.22,1.71,0.1,37.2,19.6,43.1,Clay,19940101,20991231
133,KIN2,Kingfisher,Kingfisher,1,W,Kingfisher,35.854310,-97.954420,323,Central,STANDARD,0.041,0.348,0.165,1.37,1.57,0,54.7,26.4,18.9,Sandy Loam,0.043,0.349,0.161,1.37,0.047,0.354,0.153,1.36,1.59,0.1,52.7,21.4,25.8,Sandy Clay Loam,0.104,0.359,0.143,1.26,1.65,0,2.9,58.8,38.3,Silty Clay Loam,0.086,0.372,0.099,1.3,1.59,0,0.5,65.9,33.6,Silty Clay Loam,20090306,20991231
54,KING,Kingfisher,Kingfisher,2,NE,Kingfisher,35.880500,-97.911210,319,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20090305
55,LAHO,Lahoma,Lahoma,1,WSW,Major,36.384350,-98.111390,396,North Central,CONTINUITY,0.056,0.395,0.076,1.43,1.37,0,21.3,59.8,18.9,Silt Loam,0.062,0.398,0.081,1.4,0.083,0.405,0.096,1.32,1.44,0,13.2,53.9,33,Silty Clay Loam,0.097,0.371,0.11,1.26,1.62,0,12.6,51.3,36.1,Silty Clay Loam,0.093,0.391,0.103,1.29,1.53,0,8,57.3,34.7,Silty Clay Loam,19940101,20991231
56,LANE,Lane,Lane,1,WNW,Atoka,34.308760,-95.997160,181,South Central,STANDARD,0.042,0.389,0.061,1.52,1.3,0,37.8,51.5,10.7,Silt Loam,0.04,0.38,0.068,1.5,0.028,0.354,0.096,1.44,1.45,0,46.8,41.3,11.9,Loam,0.032,0.345,0.088,1.44,1.51,0,48,41.4,10.7,Loam,0.069,0.353,0.032,1.45,1.68,0,42.2,39,18.9,Loam,19940101,20991231
57,MADI,Madill,Lebanon,4.5,NNW,Marshall,34.035790,-96.943940,232,South Central,STANDARD,0.034,0.351,0.113,1.41,1.49,0,57.5,37.5,5,Sandy Loam,0.033,0.349,0.135,1.4,0.029,0.342,0.22,1.41,1.52,0,56.2,37.5,6.3,Sandy Loam,0.067,0.343,0.153,1.31,1.68,0,48.4,30.2,21.4,Loam,0.068,0.34,0.135,1.31,1.68,0,33.5,45.2,21.3,Loam,19940101,20991231
58,MANG,Mangum,Mangum,5,SE,Greer,34.835920,-99.423980,460,Southwest,STANDARD,0.017,0.363,0.407,1.66,1.52,0,88.7,5,6.3,Sand,0.018,0.358,0.412,1.7,0.02,0.342,0.422,1.8,1.63,0,90.3,4.7,5,Sand,0.03,0.33,0.415,1.79,1.7,0,88.3,4.2,7.5,Loamy Sand,0.03,0.346,0.42,1.9,1.61,0,86.6,6.3,7.1,Loamy Sand,19940101,20991231
59,MARE,Marena,Coyle,7,N,Payne,36.064340,-97.212710,327,Central,STANDARD,0.074,0.363,0.041,1.4,1.63,0,38.6,35.2,26.3,Loam,0.073,0.369,0.047,1.39,0.072,0.389,0.065,1.36,1.51,0,42.3,32,25.7,Loam,0.09,0.37,0.078,1.24,1.66,0,40.3,24.6,35.1,Clay Loam,0.08,0.342,0.078,1.26,1.73,0,38,31,31,Clay Loam,19940101,20991231
60,MARS,Marshall,Marshall,3,SSE,Logan,36.118600,-97.601400,315,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20030923
61,MAYR,May Ranch,Freedom,16,NNE,Woods,36.987070,-99.011090,555,North Central,STANDARD,0.054,0.355,0.063,1.42,1.58,0,44.2,34.3,21.6,Loam,0.056,0.362,0.06,1.42,0.063,0.386,0.052,1.44,1.47,0,41.9,32.6,25.5,Loam,0.121,0.408,0.09,1.2,1.56,0,14.3,41.6,44.2,Silty Clay,0.113,0.399,0.092,1.22,1.57,0,17,41.5,41.5,Silty Clay,19940101,20991231
62,MCAL,McAlester,McAlester,4,S,Pittsburg,34.882310,-95.780960,230,East Central,STANDARD,0.028,0.391,0.306,1.45,1.32,0,66.2,25,8.8,Sandy Loam,0.047,0.397,0.235,1.4,0.111,0.419,0.11,1.22,1.51,0,29.5,27.3,43.2,Clay,0.088,0.368,0.099,1.22,1.7,0,53.6,10.8,35.6,Sandy Clay,0.08,0.361,0.123,1.25,1.7,0,58.3,10.1,31.6,Sandy Clay Loam,19940101,20991231
63,MEDF,Medford,Medford,1,SW,Grant,36.792420,-97.745770,332,North Central,STANDARD,0.064,0.428,0.04,1.59,1.25,0,15.9,66.4,17.7,Silt Loam,0.069,0.424,0.044,1.53,0.085,0.409,0.063,1.36,1.46,0,13,60.8,26.2,Silt Loam,0.186,0.429,0.142,1.13,1.55,0,4.5,45.1,50.4,Silty Clay,0.13,0.384,0.067,1.25,1.68,0,6.4,45.5,48.1,Silty Clay,19940101,20991231
64,MEDI,Medicine Park,Medicine Park,3,W,Comanche,34.729210,-98.569360,487,Southwest,STANDARD,0.051,0.337,0.086,1.35,1.7,0,63.6,18.9,17.6,Sandy Loam,0.05,0.345,0.112,1.34,0.049,0.374,0.226,1.37,1.57,0.1,76.2,5.6,18.1,Sandy Loam,0.094,0.374,0.04,1.22,1.72,0,58.3,5.7,36.1,Sandy Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
65,MIAM,Miami,Miami,2,NE,Ottawa,36.888320,-94.844370,247,Northeast,STANDARD,0.053,0.413,0.038,1.65,1.2,0,15.6,60.5,23.9,Silt Loam,0.052,0.402,0.038,1.65,0.048,0.373,0.043,1.6,1.43,0,23.4,62.2,14.4,Silt Loam,0.142,0.491,0.037,1.22,1.38,0,9.5,28,62.5,Clay,0.14,0.431,0.029,1.22,1.51,0,3.8,41,55.3,Silty Clay,19940101,20991231
66,MINC,Minco,Minco,2,SSW,Grady,35.272250,-97.955530,430,Central,STANDARD,0.064,0.382,0.058,1.43,1.5,0,18.7,61.1,20.2,Silt Loam,0.064,0.378,0.055,1.44,0.064,0.369,0.045,1.47,1.59,0,14.1,68.2,17.7,Silt Loam,0.064,0.306,0.044,1.3,1.93,0,12.6,74.2,13.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
125,MRSH,Marshall,Marshall,4,SSE,Logan,36.116850,-97.606850,311,Central,STANDARD,0.073,0.427,0.031,1.63,1.32,0.1,19.9,63,17,Silt Loam,0.085,0.437,0.035,1.53,0.121,0.462,0.061,1.28,1.38,0,8.3,52.9,38.8,Silty Clay Loam,0.13,0.393,0.088,1.16,1.64,0,11.4,47.8,40.8,Silty Clay,0.141,0.384,0.109,1.15,1.67,0,13,47.6,39.4,Silty Clay Loam,20030925,20991231
67,MTHE,Mt Herman,Smithville,16,SW,McCurtain,34.310720,-94.822750,284,Southeast,STANDARD,0.042,0.371,0.106,1.4,1.44,0,46.6,44,9.4,Loam,0.041,0.356,0.099,1.41,0.034,0.315,0.084,1.44,1.68,0,44.2,46.4,9.4,Loam,0.073,0.354,0.093,1.3,1.65,0,36.3,37.2,26.5,Loam,0.075,0.353,0.091,1.29,1.66,0,36.9,34.7,28.4,Clay Loam,19940101,20991231
68,NEWK,Newkirk,Newkirk,8,E,Kay,36.898100,-96.910350,366,North Central,STANDARD,0.088,0.407,0.071,1.33,1.47,0,13.6,56.6,29.9,Silty Clay Loam,0.089,0.414,0.069,1.34,0.091,0.435,0.061,1.37,1.34,0,14.9,47.4,37.7,Silty Clay Loam,0.094,0.422,0.055,1.37,1.41,0.1,5.1,55.1,39.7,Silty Clay Loam,0.091,0.393,0.046,1.37,1.53,0.1,8.7,54.2,37,Silty Clay Loam,19940101,20991231
123,NEWP,Newport,Ardmore,7,WNW,Carter,34.228100,-97.201420,283,South Central,STANDARD,0.046,0.373,0.033,1.69,1.43,0,53.6,41.4,5,Sandy Loam,0.04,0.364,0.059,1.51,0.038,0.352,0.318,1.53,1.54,0,69.3,21.3,9.4,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20021003,20991231
109,NINN,Ninnekah,Ninnekah,2,NNW,Grady,34.967740,-97.952020,356,Central,STANDARD,0.059,0.414,0.084,1.39,1.32,0,43.8,36.6,19.6,Loam,0.058,0.407,0.097,1.37,0.058,0.384,0.15,1.35,1.45,0,43.9,34,22.1,Loam,0.087,0.426,0.14,1.3,1.38,0,29.1,33.6,37.4,Clay Loam,0.096,0.371,0.108,1.24,1.64,0,33.4,31.1,35.6,Clay Loam,19940101,20171011
69,NORM,Norman,Norman,3,NW,Cleveland,35.255600,-97.483600,360,Central,SUPER,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020730
70,NOWA,Nowata,Delaware,3,SE,Nowata,36.743740,-95.607950,206,Northeast,STANDARD,0.079,0.428,0.023,1.72,1.33,0,22,59.2,18.9,Silt Loam,0.078,0.417,0.022,1.73,0.074,0.386,0.02,1.72,1.52,0,18.1,59.9,22.1,Silt Loam,0.106,0.429,0.048,1.33,1.45,0,15.2,45.9,39,Silty Clay Loam,0.119,0.471,0.099,1.24,1.33,0,10,38.3,51.7,Clay,19940101,20991231
121,NRMN,Norman,Norman,2.1,NW,Cleveland,35.236110,-97.464880,357,Central,STANDARD,0.102,0.431,0.043,1.38,1.41,0,8.3,49,42.7,Silty Clay,0.094,0.431,0.062,1.35,0.078,0.433,0.153,1.34,1.27,0,17.7,48.4,33.9,Silty Clay Loam,0.126,0.371,0.071,1.24,1.71,0,12.5,41.5,46,Silty Clay,0.126,0.387,0.072,1.16,1.66,0,17,39.6,43.4,Clay,20020701,20991231
71,OILT,Oilton,Oilton,6,ESE,Creek,36.031260,-96.497490,255,Central,CONTINUITY,0.059,0.335,0.034,1.47,1.73,0,45.8,40.3,13.9,Loam,0.056,0.337,0.046,1.43,0.048,0.346,0.105,1.36,1.61,0,52.1,34,13.9,Sandy Loam,0.052,0.369,0.154,1.36,1.5,0,48.3,35.3,16.4,Loam,0.062,0.357,0.064,1.38,1.61,0,41.9,35.4,22.7,Loam,19940101,20991231
130,OKCE,Oklahoma City East,Oklahoma City,3,E,Oklahoma,35.472260,-97.464140,355,Central,STANDARD,0.053,0.375,0.115,1.37,1.46,0,37.3,37,25.7,Loam,0.047,0.378,0.152,1.37,0.036,0.396,0.324,1.46,1.39,0,76.2,8.8,15,Sandy Loam,0.037,0.298,0.144,1.34,1.85,0,73.1,14.4,12.5,Sandy Loam,0.034,0.358,0.337,1.51,1.56,0,83.7,7.5,8.8,Loamy Sand,20070420,20991231
128,OKCN,Oklahoma City North,Oklahoma City,6.1,N,Oklahoma,35.555600,-97.510700,362,Central,STANDARD,0.1,0.465,0.034,1.5,1.25,0,15.7,52.5,31.9,Silty Clay Loam,0.095,0.44,0.063,1.35,0.129,0.439,0.096,1.2,1.47,0.1,7.5,43.5,48.9,Silty Clay,0.13,0.42,0.08,1.17,1.56,0,10,38.8,51.2,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20070303,20180507
